aX,aY,aZ,gX,gY,gZ
1.441,0.14,1.171,-29.419,-64.758,16.479
1.364,-0.085,1.095,-15.93,-47.18,1.404
1.337,-0.034,1.045,-7.141,-26.917,-0.488
1.343,-0.051,0.963,1.831,-3.357,-4.822
1.295,-0.138,0.735,9.521,30.334,-14.465
1.241,-0.133,0.592,12.268,49.805,-13.123
1.224,-0.136,0.422,13.916,60.791,-9.216
1.198,-0.082,0.316,15.32,59.875,-4.639
1.142,-0.023,0.249,14.832,54.321,-1.526
1.1,-0.005,0.217,13.062,53.955,-2.014
1.054,-0.007,0.208,12.085,58.35,-4.15
1.039,0.002,0.206,10.986,66.162,-5.066
1.044,0.025,0.232,10.071,76.355,-5.371
1.077,0.028,0.29,9.399,90.088,-5.615
1.07,0.03,0.319,8.484,108.765,-5.127
1.006,0.055,0.272,9.399,132.629,-5.005
0.945,0.046,0.179,7.507,156.677,-6.775
0.883,0.06,0.055,4.395,175.964,-5.676
0.826,0.086,-0.035,0.61,187.561,-3.479
0.801,0.083,-0.094,0.244,190.979,-2.808
0.777,0.088,-0.1,0,189.636,-3.174
0.742,0.053,-0.099,6.348,188.782,-5.005
0.731,0.039,-0.181,12.512,191.895,-7.996
0.715,0.039,-0.292,17.212,190.43,-8.789
0.705,0.021,-0.36,21.057,175.11,-8.606
0.704,0.008,-0.408,24.109,151.184,-8.179
0.653,-0.019,-0.484,25.208,121.155,-7.812
0.64,-0.007,-0.542,23.193,88.745,-5.676
0.657,0.011,-0.597,20.813,58.594,-3.113
0.722,0.013,-0.586,15.076,29.053,-0.671
0.802,0.033,-0.537,9.644,3.174,1.526
0.882,0.039,-0.408,5.493,-18.127,1.587
0.933,-0.003,-0.273,1.16,-29.114,-0.916
0.957,-0.061,-0.22,-3.54,-28.625,-1.221
0.977,-0.065,-0.154,-8.362,-27.1,2.502
1.005,-0.053,-0.134,-9.827,-22.4,6.714
1.039,-0.042,-0.151,-9.644,-16.663,7.935
1.046,-0.021,-0.198,-7.507,-14.587,7.69
1.039,-0.001,-0.168,-5.432,-17.334,5.737
1.021,-0.007,-0.189,-2.38,-16.785,3.601
1.012,0.017,-0.219,-1.648,-13.062,2.319
1.002,0.009,-0.216,-1.343,-11.414,0.61
