aX,aY,aZ,gX,gY,gZ
1.054,0.312,0.92,-32.715,47.607,-95.398
1.109,-0.455,0.674,-53.65,57.861,-98.572
1.087,-0.706,0.549,-68.665,43.884,-55.054
1.054,-0.452,0.623,-68.909,22.4,-4.883
0.985,-0.169,0.78,-63.782,6.714,15.015
1,0.062,0.883,-55.725,2.686,15.015
1.058,0.229,1.062,-53.101,4.761,6.958
1.064,0.345,1.186,-55.969,15.686,-8.362
1.214,0.285,1.31,-59.326,32.837,-32.043
1.204,0.172,1.328,-64.758,57.312,-58.472
1.214,0.083,1.301,-69.885,76.05,-71.472
1.251,-0.245,1.267,-88.257,77.332,-56.702
1.137,-0.257,1.237,-108.826,68.848,-20.935
1.142,-0.023,1.29,-114.99,58.716,7.385
1.058,-0.009,1.366,-122.864,58.838,10.254
0.831,0.055,1.281,-128.113,70.435,3.906
0.871,0.079,1.289,-135.01,69.641,5.31
0.854,-0.165,1.223,-144.348,77.087,-3.418
0.712,-0.379,0.93,-146.24,91.37,-16.846
0.695,-0.534,0.669,-147.949,90.942,-17.029
0.595,-0.589,0.529,-153.931,77.148,-8.118
0.553,-0.434,0.387,-154.663,59.814,0.732
0.631,-0.581,0.275,-158.264,46.326,-0.061
0.611,-0.982,-0.019,-162.415,46.387,-9.766
0.584,-1.278,-0.371,-157.776,44.373,-9.949
0.561,-1.464,-0.611,-148.071,27.466,2.197
0.564,-1.46,-0.77,-135.498,7.446,16.235
0.587,-1.441,-0.861,-118.225,-7.019,19.714
0.55,-1.346,-0.917,-99.243,-18.616,18.86
0.555,-1.146,-0.941,-81.543,-31.982,24.292
0.568,-0.909,-0.792,-67.932,-48.279,30.457
0.673,-0.594,-0.65,-56.091,-61.523,31.128
0.858,-0.468,-0.501,-48.706,-66.589,21.606
0.978,-0.469,-0.434,-44.495,-60.852,10.193
1.025,-0.419,-0.476,-37.781,-48.828,2.869
1.066,-0.451,-0.507,-31.372,-38.025,-3.113
1.064,-0.486,-0.547,-26.001,-28.748,-5.31
1.045,-0.441,-0.561,-20.325,-21.729,-3.967
0.989,-0.321,-0.508,-13.55,-18.066,-1.648
0.978,-0.147,-0.441,-8.118,-15.503,0.366
0.948,-0.028,-0.37,-7.019,-11.597,0.183
0.948,0.06,-0.354,-7.629,-7.08,-1.77
0.95,0.112,-0.349,-8.362,-2.808,-3.967
0.938,0.052,-0.384,-11.658,2.136,-8.789
0.924,-0.033,-0.443,-13.062,4.028,-12.39
0.909,-0.042,-0.424,-11.658,-0.305,-10.376
0.968,-0.049,-0.382,-8.484,-5.31,-8.85
1.019,-0.077,-0.338,-5.249,-7.874,-9.583
1.089,-0.106,-0.308,-1.587,-7.812,-10.925
1.123,-0.109,-0.278,1.465,-7.446,-10.315
1.13,-0.055,-0.235,4.456,-6.775,-6.653
1.121,0.009,-0.202,6.775,-5.676,-3.174
1.129,-0.005,-0.197,7.202,-4.15,-2.197
1.105,-0.033,-0.191,7.08,-3.235,-1.099
1.082,0.014,-0.159,8.545,-4.395,1.221
1.062,0.053,-0.11,10.071,-5.31,1.831
1.064,0.055,-0.1,9.827,-4.822,0.549
1.074,0.046,-0.075,9.399,-5.066,-0.977
1.09,0.05,-0.05,9.338,-4.578,-2.441
1.099,0.049,-0.048,9.46,-2.747,-5.005
1.092,0.02,-0.057,9.338,-1.099,-7.019
1.087,-0.023,-0.084,8.85,-0.916,-5.92
1.089,-0.044,-0.098,9.033,-1.526,-2.93
1.089,-0.038,-0.107,9.521,-2.136,-0.488
1.092,-0.065,-0.117,8.484,-2.319,1.404
1.1,-0.098,-0.115,8.118,-2.38,2.136
1.114,-0.089,-0.103,9.644,-2.38,2.625
1.119,-0.057,-0.083,10.315,-2.502,2.869
1.117,-0.023,-0.06,10.681,-2.075,3.357
1.113,0.021,-0.03,11.047,-1.099,3.967
1.106,0.03,-0.024,10.132,1.038,3.235
1.09,0.032,-0.036,8.179,2.747,3.052
1.088,0.012,-0.035,6.531,3.174,2.686
1.075,0.001,-0.043,6.287,4.333,2.441
1.04,-0.012,-0.066,7.69,5.859,3.174
1.016,-0.008,-0.083,9.766,5.188,5.005
1.004,-0.006,-0.079,10.925,3.052,7.08
1.021,-0.028,-0.064,10.986,0.671,8.972
1.039,-0.031,-0.048,10.62,-0.366,10.559
1.056,-0.037,-0.056,11.475,0.549,10.437
1.06,-0.032,-0.062,10.925,1.587,9.888
1.034,0.004,-0.042,10.437,1.831,8.728
1.027,0.01,-0.025,10.071,2.563,6.592
1.015,0.001,-0.02,7.935,2.991,6.042
1.009,0.009,-0.029,6.592,2.808,7.202
1.013,0.015,-0.011,5.981,1.892,8.24
1.032,0.033,-0.008,5.554,1.892,8.423
0.994,0.023,0.02,4.822,1.465,8.423
1.063,0.016,-0.03,2.319,2.808,8.301
1.004,-0.004,0.003,2.625,3.357,8.667
1,-0.018,-0.031,3.906,6.042,8.24
0.997,-0.032,-0.06,5.005,7.812,7.141
0.978,-0.037,-0.061,5.31,6.958,7.507
0.984,-0.015,-0.033,5.737,5.005,8.911
0.987,0.028,0.016,5.92,4.028,9.705
0.975,0.059,0.031,6.653,4.883,8.179
0.963,0.089,0.043,6.409,5.493,6.714
0.959,0.107,0.057,4.822,4.944,7.202
0.958,0.12,0.076,2.258,3.662,8.972
0.96,0.133,0.061,-0.183,3.174,10.254
0.96,0.119,0.034,-2.441,3.784,8.85
0.962,0.083,0.005,-4.089,4.883,6.592
0.962,0.05,-0.007,-4.639,4.7,4.883
0.968,0.027,-0.034,-3.845,3.601,3.784
1.034,0.006,-0.076,-2.319,1.953,3.479
0.953,-0.023,-0.006,-1.709,-0.854,4.822
1.07,-0.02,-0.123,-0.916,0.183,5.249
1.024,-0.044,-0.075,0.549,-2.258,5.615
1.045,-0.014,-0.07,-0.244,-3.845,9.216
1.042,0.027,-0.051,0.183,-4.761,12.39
